;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
60;FWB_111;Benthic;Primary_consumer;NA;NA;-27,5850916;5,783445627;Lentic
61;FWB_112;Pelagic;Primary_resource;NA;NA;-29,71607401;5,179561814;Lentic
62;FWB_112;Benthic;Primary_resource;NA;NA;-25,10328386;4,327471424;Lentic
63;FWB_112;Pelagic;Primary_consumer;NA;NA;-32,15520864;7,189609419;Lentic
64;FWB_112;Benthic;Primary_consumer;NA;NA;-27,54241848;6,337519029;Lentic
65;FWB_113;Pelagic;Primary_resource;NA;NA;-30,42014763;5,051090744;Lentic
66;FWB_113;Benthic;Primary_resource;NA;NA;-24,95563037;4,199000354;Lentic
67;FWB_113;Pelagic;Primary_consumer;NA;NA;-32,85928225;7,061138349;Lentic
68;FWB_113;Benthic;Primary_consumer;NA;NA;-27,39476499;6,209047959;Lentic
69;FWB_114;Pelagic;Primary_resource;-29,6;3,9;-23,87135508;3,789437536;Lentic
70;FWB_114;Benthic;Primary_resource;-28,5;0;-19,9399572;2,937347146;Lentic
71;FWB_114;Pelagic;Primary_consumer;-32,6;4,6;-26,31048971;5,799485141;Lentic
72;FWB_114;Benthic;Primary_consumer;NA;NA;-22,37909182;4,947394751;Lentic
73;FWB_115;Pelagic;Primary_consumer;-21,8;6,5;-26,35505719;5,717630514;Lentic
74;FWB_115;Pelagic;Primary_resource;-22,4;3;-23,91592256;3,707582909;Lentic
75;FWB_115;Benthic;Primary_resource;-26;-0,5;-20,00419455;2,855492518;Lentic
76;FWB_115;Benthic;Primary_consumer;NA;NA;-22,44332917;4,865540124;Lentic
77;FWB_116;Pelagic;Primary_resource;-23,2;2,5;-23,88566659;3,846619408;Lentic
78;FWB_116;Pelagic;Primary_consumer;-23;2,7;-26,32480121;5,856667014;Lentic
79;FWB_116;Benthic;Primary_resource;-19,13333333;-1,966666667;-19,94150471;2,994529018;Lentic
80;FWB_116;Benthic;Primary_consumer;NA;NA;-22,38063933;5,004576623;Lentic
81;FWB_117;Benthic;Primary_resource;-21,145;-2,58;-18,61008545;3,544876659;Lentic
82;FWB_117;Pelagic;Primary_resource;-22,74;2,61;-22,34054422;4,396967049;Lentic
83;FWB_117;Benthic;Primary_consumer;-23,22;1,95;-21,04922008;5,554924264;Lentic
84;FWB_117;Pelagic;Primary_consumer;NA;NA;-24,77967885;6,407014655;Lentic
85;FWB_1172;Pelagic;Primary_consumer;-34,2004;10,08999;-29,90381454;4,993215696;Lentic
86;FWB_1172;Benthic;Primary_consumer;-34,39283333;7,918855333;-27,13785695;4,141125306;Lentic
87;FWB_1172;Pelagic;Primary_resource;NA;NA;-27,46467991;2,98316809;Lentic
88;FWB_1172;Benthic;Primary_resource;NA;NA;-24,69872233;2,1310777;Lentic
89;FWB_1173;Benthic;Primary_consumer;-27,34907813;8,6463825;-29,93740811;6,172578877;Lentic
90;FWB_1173;Pelagic;Primary_consumer;-29,9467;8,049632857;-31,82570797;7,024669267;Lentic
91;FWB_1173;Pelagic;Primary_resource;NA;NA;-29,38657335;5,014621662;Lentic
92;FWB_1173;Benthic;Primary_resource;NA;NA;-27,49827349;4,162531272;Lentic
93;FWB_1175;Benthic;Primary_consumer;-23,97833333;4,615833333;-28,32566647;4,333741028;Lotic
94;FWB_1175;Benthic;Primary_resource;-23,52333333;3,75;-25,88653185;2,323693423;Lotic
95;FWB_1175;Pelagic;Primary_resource;NA;NA;-29,78262675;3,175783813;Lotic
96;FWB_1175;Pelagic;Primary_consumer;NA;NA;-32,22176137;5,185831418;Lotic
97;FWB_1176;Benthic;Primary_consumer;-30,18166667;8,931666667;-29,48876118;5,345826717;Lentic
98;FWB_1176;Pelagic;Primary_consumer;-33,9;7,58;-34,06039161;6,197917107;Lentic
99;FWB_1176;Pelagic;Primary_resource;NA;NA;-31,62125698;4,187869502;Lentic
100;FWB_1176;Benthic;Primary_resource;NA;NA;-27,04962655;3,335779112;Lentic
101;FWB_118;Pelagic;Primary_resource;-16,38;0,87;-22,34054422;4,396967049;Lentic
102;FWB_118;Benthic;Primary_resource;-19,98;1,28;-18,61008545;3,544876659;Lentic
103;FWB_118;Benthic;Primary_consumer;-15,54;0,065;-21,04922008;5,554924264;Lentic
104;FWB_118;Pelagic;Primary_consumer;NA;NA;-24,77967885;6,407014655;Lentic
105;FWB_1181;Pelagic;Primary_resource;NA;NA;-30,34625309;3,762850355;NA
106;FWB_1181;Benthic;Primary_resource;NA;NA;-26,79163467;2,910759965;NA
107;FWB_1181;Pelagic;Primary_consumer;NA;NA;-32,78538771;5,77289796;NA
108;FWB_1181;Benthic;Primary_consumer;NA;NA;-29,23076929;4,92080757;NA
109;FWB_119;Pelagic;Primary_consumer;-32,3;7,39;-29,21537616;8,627899008;Lentic
