"";"FW_ID";"Resource_habitat";"Resource_trophic_group";"d13C_baseline";"d15N_baseline";"Ecosystem_Type";"Latitude";"Longitude";"Elevation";"Lake_area_km2";"dis_m3_pyr";"tmp_dc_lyr";"pre_mm_lyr";"pop_ct_vsu";"soc_th_uav";"Res_time";"hft_ix_v09"
"33";"FWB_118";"Benthic";"Primary_resource";-19,98;1,28;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"34";"FWB_118";"Benthic";"Primary_consumer";-15,54;0,065;"Lentic";1,501347;32,948317;1034;2788,19;3428,31;236;1278;394,043;24;28,2;124
"35";"FWB_119";"Pelagic";"Primary_consumer";-32,3;7,39;"Lentic";38,45501726;-107,3282908;2289;30,23;52,371;40;336;0,142;56;204;56
"36";"FWB_123";"Pelagic";"Primary_consumer";-29,7090301003344;3,01321660971353;"Lentic";47,047328;-91,241889;179;81843,9;2869,95;37;801;231,72;91;48410,3;62
"37";"FWB_124";"Pelagic";"Primary_consumer";-26,5;4,8;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"38";"FWB_124";"Benthic";"Primary_resource";-15,99;2,29999999999999;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"39";"FWB_124";"Benthic";"Primary_consumer";-17,23;3,71;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"40";"FWB_124";"Pelagic";"Primary_resource";-27,21;4;"Lentic";0,6237;36,068322;968;125,43;53,565;240;628;7,94;31;394,2;108
"41";"FWB_126";"Benthic";"Primary_resource";-23,88995215311;2,75206611570248;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"42";"FWB_126";"Pelagic";"Primary_consumer";-29,3301435406698;11,0082644628099;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"43";"FWB_126";"Benthic";"Primary_consumer";-27,0334928229665;11,0082644628099;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"44";"FWB_127";"Benthic";"Primary_resource";-24,2014388489209;8,18181818181818;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"45";"FWB_127";"Pelagic";"Primary_consumer";-28,1726618705035;10,0661157024793;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"46";"FWB_127";"Benthic";"Primary_consumer";-24,3165467625899;10,7272727272727;"Lentic";29,71875;116,185416;10;2398,32;5985,19;177;1466;732,502;27;31,6;146
"47";"FWB_128";"Pelagic";"Primary_consumer";-31,12;10,7;"Lentic";52,921194;1,046226;29;0,27;1,797;98;629;1,515;35;7,1;234
"48";"FWB_128";"Benthic";"Primary_consumer";-29,725;10,505;"Lentic";52,921194;1,046226;29;0,27;1,797;98;629;1,515;35;7,1;234
"49";"FWB_128";"Benthic";"Primary_resource";-25,23;8,57;"Lentic";52,921194;1,046226;29;0,27;1,797;98;629;1,515;35;7,1;234
"50";"FWB_132";"Benthic";"Primary_consumer";-33,12;2,82;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
"51";"FWB_132";"Pelagic";"Primary_consumer";-33,1;3;"Lentic";-6,7128;140,8891;14;1;3,898;266;3323;0,031;43;7,7;16
